Transaction_id,Member_number,Date,itemDescription
1193,1411,20-02-2015,frankfurter
1194,3390,14-11-2015,soda
1195,4787,01-08-2015,beef
1196,3310,17-01-2015,canned beer
1197,1782,10-10-2015,pork
1198,3375,26-04-2015,frankfurter
1199,2760,07-01-2015,sausage
1200,4249,13-09-2015,canned beer
1201,2904,06-06-2015,specialty chocolate
1202,4090,26-02-2015,curd
1203,3060,05-07-2015,canned beer
1204,3768,07-10-2015,whole milk
1205,1232,21-01-2015,rolls/buns
1206,1360,23-10-2015,pork
1207,1107,01-10-2015,citrus fruit
1208,2865,04-11-2015,pot plants
1209,2958,14-06-2015,rolls/buns
1210,2448,12-07-2015,butter
1211,1222,24-09-2015,condensed milk
1212,2943,20-06-2015,sausage
1213,2270,11-08-2015,whole milk
1214,3812,21-07-2015,sausage
1215,1482,22-11-2015,beverages
1216,4720,22-02-2015,beverages
1217,1344,04-09-2015,bottled water
1218,2397,04-10-2015,newspapers
1219,4182,12-05-2015,cleaner
1220,4487,10-07-2015,sausage
1221,3467,24-12-2015,newspapers
1222,2443,15-11-2015,sausage
1223,2749,27-01-2015,misc. beverages
1224,4389,13-04-2015,white wine
1225,1674,04-12-2015,sausage
1226,4262,16-10-2015,meat
1227,2082,07-04-2015,frankfurter
1228,4494,06-01-2015,ice cream
1229,2460,28-09-2015,canned beer
1230,4509,29-11-2015,tropical fruit
1231,2267,03-07-2015,meat
1232,4891,05-09-2015,whole milk
1233,3962,20-09-2015,sausage
1234,4964,18-07-2015,frankfurter
1235,2914,30-11-2015,meat
1236,2808,05-05-2015,root vegetables
1237,1085,15-08-2015,root vegetables
1238,3808,18-08-2015,whole milk
1239,4149,07-01-2015,citrus fruit
1240,2331,05-06-2015,citrus fruit
1241,4475,03-04-2015,other vegetables
1242,2761,25-04-2015,citrus fruit
1243,2620,14-12-2015,sausage
1244,3206,13-10-2015,frankfurter
1245,1226,13-04-2015,hard cheese
1246,1395,07-03-2015,cream cheese 
1247,2465,07-06-2015,turkey
1248,3572,09-07-2015,pork
1249,4387,08-05-2015,whole milk
1250,1555,27-03-2015,rolls/buns
1251,1181,16-11-2015,sausage
1252,2814,11-05-2015,ice cream
1253,2794,16-09-2015,liquor
1254,2912,28-01-2015,pip fruit
1255,4667,12-01-2015,root vegetables
1256,2235,25-10-2015,soda
1257,2353,02-05-2015,soda
1258,3449,08-03-2015,sausage
1259,1058,10-11-2015,root vegetables
1260,1027,17-05-2015,pork
1261,3302,22-05-2015,pork
1262,2229,30-05-2015,chocolate
1263,2188,15-08-2015,fruit/vegetable juice
1264,1547,18-04-2015,pickled vegetables
1265,1649,30-06-2015,bottled water
1266,3254,10-09-2015,frankfurter
1267,2818,07-11-2015,tropical fruit
1268,2703,08-05-2015,canned beer
1269,3332,31-01-2015,root vegetables
1270,2473,01-07-2015,meat
1271,2810,30-12-2015,frankfurter
1272,1033,22-04-2015,tropical fruit
1273,4222,27-05-2015,tropical fruit
1274,3679,21-09-2015,citrus fruit
1275,2212,27-08-2015,hamburger meat
1276,1507,22-06-2015,chicken
1277,2870,21-01-2015,chicken
1278,3429,26-04-2015,frankfurter
1279,4148,09-04-2015,canned beer
1280,2970,30-12-2015,turkey
1281,2013,30-08-2015,packaged fruit/vegetables
1282,3967,30-05-2015,pasta
1283,2885,15-05-2015,citrus fruit
1284,3935,02-07-2015,sausage
1285,3283,01-05-2015,whole milk
1286,3268,06-11-2015,canned beer
1287,3677,30-04-2015,citrus fruit
1288,3495,27-06-2015,liquor (appetizer)
1289,1410,04-10-2015,citrus fruit
1290,2440,06-06-2015,sausage
1291,4088,13-01-2015,chicken
1292,2469,23-09-2015,hamburger meat
1293,4229,06-03-2015,sausage
1294,2728,02-08-2015,beef
1295,4694,25-01-2015,citrus fruit
1296,2836,29-12-2015,UHT-milk
1297,1311,12-02-2015,candy
1298,1760,23-01-2015,newspapers
1299,3656,02-03-2015,beef
1300,3720,28-05-2015,sausage
1301,2996,26-09-2015,frankfurter
1302,1949,22-07-2015,canned beer
1303,4498,11-02-2015,bottled beer
1304,2447,28-12-2015,onions
1305,1952,23-03-2015,tropical fruit
1306,4099,27-01-2015,bottled water
1307,1804,12-03-2015,beef
1308,1510,16-05-2015,sausage
1309,2879,18-04-2015,hair spray
1310,4899,12-03-2015,chicken
1311,4326,29-09-2015,pork
1312,1670,17-05-2015,ice cream
1313,1117,24-05-2015,meat
1314,1346,03-04-2015,other vegetables
1315,1178,15-11-2015,bottled water
1316,1649,25-06-2015,tropical fruit
1317,4651,21-06-2015,photo/film
1318,4243,02-04-2015,sausage
1319,4429,21-07-2015,grapes
1320,4645,25-07-2015,domestic eggs
1321,4019,24-07-2015,rolls/buns
1322,4459,26-04-2015,tropical fruit
1323,3006,27-12-2015,chicken
1324,1834,17-09-2015,frankfurter
1325,3236,04-07-2015,berries
1326,1765,11-03-2015,margarine
1327,3855,09-03-2015,tropical fruit
1328,4392,28-11-2015,ham
1329,3330,26-07-2015,hamburger meat
1330,1723,02-09-2015,yogurt
1331,4110,30-03-2015,soda
1332,2600,28-01-2015,yogurt
1333,2946,07-10-2015,soda
1334,2426,08-09-2015,bottled water
1335,4170,03-05-2015,sausage
1336,1109,06-04-2015,citrus fruit
1337,3429,04-01-2015,shopping bags
1338,2055,04-02-2015,newspapers
1339,2480,20-09-2015,frankfurter
1340,2441,30-05-2015,sausage
1341,1054,04-10-2015,frankfurter
1342,4818,11-01-2015,salt
1343,3379,21-01-2015,oil
1344,3939,10-02-2015,curd
1345,1367,05-08-2015,other vegetables
1346,1043,10-01-2015,citrus fruit
1347,2231,17-10-2015,frankfurter
1348,3235,28-12-2015,root vegetables
1349,4554,16-07-2015,tropical fruit
1350,3245,24-01-2015,beef
1351,2996,19-05-2015,berries
1352,2507,05-01-2015,canned beer
1353,4186,25-10-2015,whipped/sour cream
1354,3929,28-04-2015,root vegetables
1355,3760,22-11-2015,whole milk
1356,4928,18-08-2015,beef
1357,4217,18-12-2015,frozen vegetables
1358,1174,11-02-2015,rolls/buns
1359,4103,19-06-2015,whole milk
1360,4408,13-03-2015,whole milk
1361,2588,28-12-2015,citrus fruit
1362,2598,11-11-2015,pastry
1363,1518,11-12-2015,frankfurter
1364,2702,08-04-2015,tropical fruit
1365,1001,20-01-2015,frankfurter
1366,2270,30-09-2015,berries
1367,2838,10-11-2015,rolls/buns
1368,1683,26-05-2015,root vegetables
1369,4040,03-04-2015,yogurt
1370,3897,23-08-2015,other vegetables
1371,2200,11-03-2015,berries
1372,4073,29-01-2015,berries
1373,3700,19-04-2015,other vegetables
1374,3973,10-06-2015,rolls/buns
1375,2715,06-07-2015,ham
1376,3967,23-11-2015,whole milk
1377,4002,03-09-2015,tropical fruit
1378,2962,01-03-2015,bottled water
1379,4340,25-12-2015,butter milk
1380,2092,06-11-2015,newspapers
1381,3143,24-05-2015,coffee
1382,2209,03-10-2015,bottled beer
1383,2816,22-08-2015,onions
1384,2659,01-06-2015,hamburger meat
1385,1588,13-10-2015,sausage
1386,1144,15-10-2015,hard cheese
1387,2166,10-12-2015,sausage
1388,3300,06-10-2015,hamburger meat
1389,3944,03-01-2015,onions
1390,4979,24-04-2015,coffee
1391,2630,21-01-2015,shopping bags
1392,4240,29-04-2015,yogurt
1393,2357,08-07-2015,soda
1394,1743,18-04-2015,sliced cheese
1395,2331,15-02-2015,sausage
1396,1643,28-04-2015,yogurt
1397,1291,20-03-2015,domestic eggs
1398,3675,04-07-2015,whole milk
1399,4134,06-11-2015,meat
1400,1363,21-06-2015,dish cleaner
1401,4212,01-05-2015,other vegetables
1402,1500,21-03-2015,whole milk
1403,2622,01-10-2015,other vegetables
1404,3543,18-03-2015,tropical fruit
1405,2525,24-05-2015,baking powder
1406,1264,12-10-2015,specialty bar
1407,3601,06-07-2015,ice cream
1408,1771,23-03-2015,frankfurter
1409,4694,06-02-2015,canned beer
1410,1122,21-12-2015,bottled water
1411,3507,12-08-2015,other vegetables
1412,4524,26-04-2015,citrus fruit
1413,3612,27-09-2015,sausage
1414,3262,11-06-2015,domestic eggs
1415,1897,25-01-2015,pork
1416,1656,30-10-2015,specialty cheese
1417,3953,10-01-2015,pork
1418,1488,21-06-2015,beef
1419,1652,17-03-2015,other vegetables
1420,4953,16-09-2015,chicken
1421,3445,30-04-2015,soda
1422,3180,15-03-2015,whole milk
1423,4934,06-09-2015,rolls/buns
1424,2980,27-04-2015,bottled beer
1425,2763,13-02-2015,root vegetables
1426,4819,04-03-2015,pastry
1427,3169,02-07-2015,berries
1428,1850,11-03-2015,citrus fruit
1429,4285,29-12-2015,whole milk
1430,4366,13-08-2015,soda
1431,2253,16-06-2015,bottled water
1432,3398,11-03-2015,tropical fruit
1433,2215,22-07-2015,salty snack
1434,3737,03-03-2015,bottled water
1435,2649,28-11-2015,chocolate
1436,3203,07-08-2015,citrus fruit
1437,4261,16-02-2015,bottled water
1438,2435,17-07-2015,onions
1439,2046,21-08-2015,dessert
1440,4267,11-02-2015,beef
1441,1086,28-12-2015,rolls/buns
1442,1992,04-01-2015,beef
1443,3622,26-07-2015,soda
1444,4700,27-06-2015,coffee
1445,2272,16-05-2015,rolls/buns
1446,1663,19-05-2015,pork
1447,2519,03-06-2015,soda
1448,2639,30-10-2015,sausage
1449,1466,19-04-2015,beef
1450,4122,23-10-2015,whole milk
1451,3598,15-04-2015,pork
1452,3097,10-08-2015,berries
1453,1873,19-09-2015,sausage
1454,1537,01-02-2015,bottled water
1455,3960,25-03-2015,tropical fruit
1456,1136,15-06-2015,herbs
1457,2453,21-12-2015,yogurt
1458,1746,15-02-2015,Instant food products
1459,3572,09-06-2015,specialty chocolate
1460,3246,24-06-2015,coffee
1461,3207,26-11-2015,bottled beer
1462,1042,12-02-2015,beef
1463,1176,30-03-2015,whole milk
1464,3054,23-02-2015,frankfurter
1465,4486,02-12-2015,frankfurter
1466,1580,05-12-2015,other vegetables
1467,1623,02-11-2015,frankfurter
1468,4169,24-11-2015,whole milk
1469,2254,24-01-2015,frankfurter
1470,4095,01-11-2015,other vegetables
1471,1264,17-11-2015,bottled water
1472,3375,06-01-2015,pork
1473,3242,23-05-2015,bottled water
1474,2227,07-06-2015,other vegetables
1475,3847,03-12-2015,hamburger meat
1476,3897,31-05-2015,hamburger meat
1477,1799,27-09-2015,shopping bags
1478,2920,26-04-2015,whole milk
1479,3713,31-01-2015,ice cream
1480,4230,05-11-2015,pastry
1481,1455,18-03-2015,ham
1482,3687,18-03-2015,frankfurter
1483,3869,01-08-2015,sausage
1484,2988,14-10-2015,bottled beer
1485,4242,30-03-2015,bottled water
1486,4118,24-12-2015,meat
1487,4996,24-10-2015,dessert
1488,4489,04-03-2015,other vegetables
1489,1199,09-11-2015,beverages
1490,4108,12-05-2015,ham
1491,3484,05-06-2015,specialty bar
1492,1239,31-08-2015,brown bread
1493,4839,19-12-2015,whole milk
1494,4748,07-05-2015,rolls/buns
1495,4426,06-06-2015,bottled beer
1496,3571,11-12-2015,pet care
1497,2852,08-06-2015,citrus fruit
1498,3638,26-05-2015,pork
1499,3635,10-03-2015,other vegetables
1500,2723,07-05-2015,white wine
1501,3495,11-03-2015,whole milk
1502,2813,16-11-2015,pip fruit
1503,2799,02-09-2015,sugar
1504,4723,22-05-2015,tropical fruit
1505,3313,08-04-2015,root vegetables
1506,4748,15-12-2015,soda
1507,2991,16-02-2015,whole milk
1508,1483,01-04-2015,tropical fruit
1509,3950,01-10-2015,white bread
1510,1634,16-01-2015,brown bread
1511,2694,21-11-2015,tropical fruit
1512,2707,18-10-2015,domestic eggs
1513,2813,16-07-2015,coffee
1514,2276,11-01-2015,soda
1515,4726,06-02-2015,whole milk
1516,4353,25-05-2015,bottled beer
1517,4017,13-08-2015,pork
1518,1422,21-08-2015,other vegetables
1519,2714,15-03-2015,yogurt
1520,2769,21-07-2015,sparkling wine
1521,4166,30-04-2015,bottled water
1522,3614,02-03-2015,citrus fruit
1523,4361,05-09-2015,hamburger meat
1524,1922,22-09-2015,packaged fruit/vegetables
1525,4728,06-09-2015,other vegetables
1526,3646,08-08-2015,soda
1527,1155,10-08-2015,whole milk
1528,2119,11-06-2015,herbs
1529,1602,29-08-2015,citrus fruit
1530,1074,24-06-2015,misc. beverages
1531,2256,11-04-2015,female sanitary products
1532,1348,17-09-2015,soda
1533,3806,28-08-2015,tropical fruit
1534,1711,06-06-2015,soda
1535,3959,12-04-2015,white bread
1536,1590,15-08-2015,coffee
1537,1962,08-06-2015,tropical fruit
1538,1766,21-01-2015,pork
1539,2551,21-10-2015,citrus fruit
1540,2294,23-09-2015,frankfurter
1541,4531,29-05-2015,frankfurter
1542,2957,12-04-2015,frankfurter
1543,4415,27-01-2015,other vegetables
1544,1476,26-08-2015,yogurt
1545,3978,23-07-2015,sausage
1546,2062,22-09-2015,whole milk
1547,3252,28-06-2015,pip fruit
1548,3922,24-06-2015,whole milk
1549,1491,17-10-2015,root vegetables
1550,3526,26-08-2015,onions
1551,4060,11-12-2015,specialty chocolate
1552,1067,08-04-2015,hamburger meat
1553,2840,27-01-2015,photo/film
1554,4484,27-11-2015,rolls/buns
1555,2353,07-02-2015,canned beer
1556,3130,18-02-2015,canned beer
1557,4273,14-06-2015,other vegetables
1558,4565,30-12-2015,canned beer
1559,2504,14-08-2015,curd
1560,4127,23-10-2015,butter
1561,2690,01-04-2015,other vegetables
1562,4129,22-09-2015,whole milk
1563,4511,29-06-2015,beef
1564,1602,04-08-2015,sausage
1565,4369,01-02-2015,soda
1566,1302,29-09-2015,fruit/vegetable juice
1567,3326,30-04-2015,rolls/buns
1568,2066,21-05-2015,pip fruit
1569,3483,15-01-2015,frozen vegetables
1570,2840,12-02-2015,beverages
1571,1807,18-05-2015,hamburger meat
1572,2067,12-08-2015,root vegetables
1573,3783,17-02-2015,canned beer
1574,2884,04-01-2015,frozen vegetables
1575,2908,15-03-2015,canned beer
1576,1330,10-07-2015,newspapers
1577,2293,08-05-2015,rolls/buns
1578,3718,20-05-2015,hamburger meat
1579,4338,25-01-2015,pip fruit
1580,3486,08-11-2015,canned beer
1581,3635,04-09-2015,grapes
1582,2857,18-02-2015,root vegetables
1583,3684,13-08-2015,citrus fruit
1584,3120,20-10-2015,cling film/bags
1585,3872,19-03-2015,frankfurter
1586,2777,07-04-2015,whole milk
1587,2702,27-05-2015,pork
1588,4796,29-06-2015,chicken
1589,1564,23-10-2015,sausage
1590,2740,02-07-2015,specialty bar
1591,1833,13-04-2015,whipped/sour cream
1592,1757,23-12-2015,root vegetables
1593,2975,24-10-2015,rolls/buns
1594,4032,10-08-2015,other vegetables
1595,3979,16-09-2015,citrus fruit
1596,3772,09-03-2015,whole milk
1597,4523,28-10-2015,frankfurter
1598,4004,19-04-2015,coffee
1599,2936,08-06-2015,ham
1600,2394,21-06-2015,canned beer
1601,4616,16-08-2015,canned beer
1602,2362,08-07-2015,canned beer
1603,3593,03-11-2015,pip fruit
1604,4389,27-08-2015,pork
1605,3206,11-08-2015,soap
1606,4601,04-01-2015,pip fruit
1607,4382,13-11-2015,beef
1608,2718,08-06-2015,sausage
1609,4691,12-10-2015,frozen chicken
1610,3735,28-11-2015,soda
1611,3900,20-12-2015,tropical fruit
1612,4959,30-06-2015,other vegetables
1613,1815,30-08-2015,beef
1614,2454,08-04-2015,meat
1615,4778,15-01-2015,meat
1616,2289,04-11-2015,bottled water
1617,1734,13-07-2015,rolls/buns
1618,4019,05-02-2015,pastry
1619,4605,28-05-2015,pork
1620,4864,14-11-2015,pip fruit
1621,4205,22-02-2015,beef
1622,1862,03-08-2015,beef
1623,1846,19-07-2015,rolls/buns
1624,2019,28-05-2015,citrus fruit
1625,2042,19-11-2015,meat
1626,1768,26-05-2015,beverages
1627,3847,26-03-2015,beef
1628,3557,20-07-2015,ham
1629,3975,27-02-2015,hamburger meat
1630,4198,18-03-2015,beef
1631,2580,04-09-2015,beef
1632,3474,25-08-2015,root vegetables
1633,1678,14-11-2015,citrus fruit
1634,4254,14-08-2015,yogurt
1635,4704,21-08-2015,tropical fruit
1636,3343,10-05-2015,frankfurter
1637,3812,24-06-2015,beef
1638,3093,13-03-2015,shopping bags
1639,2170,18-06-2015,canned beer
1640,4867,29-10-2015,rolls/buns
1641,3899,23-03-2015,other vegetables
1642,2941,03-10-2015,hamburger meat
1643,1958,03-07-2015,hamburger meat
1644,2760,08-08-2015,frankfurter
1645,4413,03-08-2015,bottled beer
1646,1737,15-05-2015,tropical fruit
1647,4202,18-02-2015,soda
1648,1065,13-11-2015,frankfurter
1649,3819,28-06-2015,chicken
1650,2854,08-02-2015,coffee
1651,4387,16-09-2015,whole milk
1652,4530,12-04-2015,margarine
1653,4191,03-11-2015,tropical fruit
1654,3102,04-12-2015,meat
1655,1946,25-01-2015,cream cheese 
1656,2156,15-05-2015,newspapers
1657,1444,16-12-2015,rolls/buns
1658,1699,14-05-2015,citrus fruit
1659,4954,04-05-2015,whole milk
1660,2207,08-04-2015,frankfurter
1661,4826,28-01-2015,ham
1662,2374,08-06-2015,frankfurter
1663,1604,18-08-2015,sausage
1664,4437,29-11-2015,domestic eggs
1665,2319,10-05-2015,whole milk
1666,3018,27-06-2015,rolls/buns
1667,1195,28-09-2015,whole milk
1668,1768,04-09-2015,sausage
1669,3017,28-09-2015,curd
1670,3384,29-11-2015,bottled water
1671,1918,30-01-2015,beef
1672,2524,17-10-2015,frankfurter
1673,2798,17-06-2015,chicken
1674,2096,25-01-2015,sausage
1675,1489,13-03-2015,pork
1676,1431,20-07-2015,yogurt
1677,2747,05-07-2015,whole milk
1678,3054,22-03-2015,frankfurter
1679,2691,09-10-2015,beef
1680,1752,19-04-2015,pip fruit
1681,3027,15-09-2015,sausage
1682,4452,17-06-2015,pastry
1683,4129,13-08-2015,chicken
1684,3523,09-11-2015,root vegetables
1685,2128,11-02-2015,whole milk
1686,4867,03-02-2015,detergent
1687,4762,30-10-2015,rolls/buns
1688,1632,29-05-2015,house keeping products
1689,4018,17-11-2015,yogurt
1690,1722,13-07-2015,tropical fruit
1691,1438,19-10-2015,tropical fruit
1692,3958,27-10-2015,curd
1693,3292,13-09-2015,beef
1694,2861,23-02-2015,whole milk
1695,1757,24-02-2015,pork
1696,1509,30-12-2015,other vegetables
1697,2364,11-05-2015,rolls/buns
1698,3084,26-10-2015,frankfurter
1699,1850,17-02-2015,yogurt
1700,1949,17-03-2015,whole milk
1701,4740,02-10-2015,bottled water
1702,1072,23-10-2015,frankfurter
1703,4196,09-07-2015,rolls/buns
1704,4814,13-09-2015,whole milk
1705,1514,28-02-2015,rolls/buns
1706,4584,25-10-2015,chicken
1707,2751,03-02-2015,tropical fruit
1708,4155,24-09-2015,sausage
1709,4670,11-10-2015,sausage
1710,4566,27-07-2015,frankfurter
1711,2371,30-08-2015,UHT-milk
1712,3442,14-11-2015,rolls/buns
1713,3090,27-09-2015,canned beer
1714,1457,09-01-2015,yogurt
1715,4952,08-04-2015,whipped/sour cream
1716,3165,11-01-2015,rolls/buns
1717,2608,19-09-2015,rolls/buns
1718,2040,07-10-2015,beverages
1719,1327,09-08-2015,rolls/buns
1720,3363,07-01-2015,rolls/buns
1721,1731,09-09-2015,bottled beer
1722,2760,02-08-2015,citrus fruit
1723,3120,14-01-2015,bottled water
1724,1332,30-04-2015,pastry
1725,4530,12-09-2015,domestic eggs
1726,3145,23-02-2015,beef
1727,1099,13-08-2015,spread cheese
1728,3188,06-12-2015,tropical fruit
1729,3748,13-10-2015,packaged fruit/vegetables
1730,4655,31-03-2015,whole milk
1731,1827,01-05-2015,meat
1732,2485,17-02-2015,onions
1733,4683,15-01-2015,frankfurter
1734,4358,06-11-2015,beef
1735,1931,09-10-2015,beef
1736,2490,18-12-2015,sausage
1737,4842,08-12-2015,chicken
1738,4616,01-01-2015,canned beer
1739,2810,22-09-2015,sausage
1740,2785,18-10-2015,tropical fruit
1741,3591,20-07-2015,frankfurter
1742,3896,10-09-2015,sausage
1743,3842,01-07-2015,beef
1744,2648,10-07-2015,tropical fruit
1745,4688,02-10-2015,yogurt
1746,3511,26-08-2015,frankfurter
1747,3084,04-09-2015,bottled beer
1748,3810,07-05-2015,grapes
1749,4348,26-02-2015,beverages
1750,3584,10-03-2015,curd
1751,2620,11-06-2015,ice cream
1752,2716,18-01-2015,sausage
1753,3797,10-08-2015,other vegetables
1754,2976,02-06-2015,dessert
1755,2762,07-11-2015,decalcifier
1756,3752,25-04-2015,canned beer
1757,1659,30-11-2015,coffee
1758,4109,08-02-2015,berries
1759,1542,07-08-2015,pork
1760,2068,07-06-2015,frankfurter
1761,4509,14-06-2015,pork
1762,4646,14-06-2015,frankfurter
1763,2122,07-04-2015,frozen dessert
1764,2730,15-06-2015,chicken
1765,1800,31-07-2015,vinegar
